Artist,Total,Today,1M,2M,3M,4M,5M
"Meduza, Becky Hill & GOODBOYS","1,669,585",0,1,0,0,0,0
XXXTENTACION,"1,669,532",0,0,0,0,0,0
Jaymes Young,"1,667,393",67,1,0,0,0,0
Elton John & Britney Spears,"1,667,057",0,1,0,0,0,0
Kamaliya,"1,655,481",155,0,0,0,0,0
Mr.Rain,"1,654,280",316,0,0,0,0,0
Filatov & Karas,"1,642,855",0,0,0,0,0,0
Niska,"1,637,668",0,0,0,0,0,0
The xx,"1,636,421","1,284",1,0,0,0,0
Kelly Clarkson,"1,629,216",62,0,0,0,0,0
Powfu,"1,623,979",0,1,0,0,0,0
Idina Menzel,"1,623,278",0,1,0,0,0,0
Kwabs,"1,617,195",0,1,0,0,0,0
Gnash,"1,616,811",0,1,0,0,0,0
Kendrick Lamar,"1,613,953","1,402",0,0,0,0,0
Majestic & Boney M.,"1,611,423",0,1,0,0,0,0
Tim Bendzko,"1,608,438",0,0,0,0,0,0
Survivor,"1,607,439","1,345",1,0,0,0,0
Lil Kleine,"1,605,744",0,0,0,0,0,0
Paloma Faith,"1,604,636",85,0,0,0,0,0
"David Guetta, Anne-Marie & Coi Leray","1,601,214",0,1,0,0,0,0
Route 94,"1,598,584",0,1,0,0,0,0
Calvin Harris & Ellie Goulding,"1,587,679",0,1,0,0,0,0
The Weeknd & Ariana Grande,"1,579,811",0,1,0,0,0,0
Michael Schulte,"1,574,913",0,0,0,0,0,0
Les Enfoirés,"1,574,697",0,0,0,0,0,0
Vance Joy,"1,570,626",0,1,0,0,0,0
